Linux Kernel                          total |       text       data        bss
kernel/bpf/built-in.a                 39625 |      32938       6635         52
kernel/module/built-in.a              37872 |      34511       2233       1128
kernel/locking/built-in.a             34803 |      33766       1033          4
kernel/futex/built-in.a               22292 |      22231         53          8
kernel/power/built-in.a               19473 |      18464        925         84
kernel/dma/built-in.a                 16507 |      16322        180          5
--------------------------------------------------------------------------------
sum                                 2079454 |    1629184     349351     100919
delta                                -56940 |     -52804      -2740      -1396


lib                                   total |       text       data        bss
--------------------------------------------------------------------------------
lib/built-in.a                       875572 |     836249       4179      35144
--------------------------------------------------------------------------------
lib/zstd/built-in.a                  535729 |     535589        136          4
lib/*.o                              420103 |     378412       8683      33008
lib/crypto/built-in.a                 51641 |      51400        217         24
lib/zlib_deflate/built-in.a           20037 |      17673         84       2280
lib/lz4/built-in.a                    14231 |      14199         32          0
lib/zlib_inflate/built-in.a           12629 |      12601         28          0
lib/xz/built-in.a                     11628 |      11576         52          0
lib/fonts/built-in.a                   6786 |       6774         12          0
lib/lzo/built-in.a                     5312 |       5300         12          0
lib/math/built-in.a                    4178 |       4110         68          0
--------------------------------------------------------------------------------
sum                                 1082274 |    1037634       9324      35316
delta                               -206702 |    -201385      -5145       -172


block                                 total |       text       data        bss
--------------------------------------------------------------------------------
block/built-in.a                     288199 |     271898      14397       1904
--------------------------------------------------------------------------------
block/*.o                            275230 |     259116      14214       1900
block/partitions/built-in.a           13249 |      13057        188          4
--------------------------------------------------------------------------------
sum                                  288479 |     272173      14402       1904
delta                                  -280 |       -275         -5          0


arch/arm                              total |       text       data        bss
--------------------------------------------------------------------------------
arch/arm/built-in.a                  205897 |     177710      27386        801
--------------------------------------------------------------------------------
arch/arm/mach-omap2/built-in.a       239931 |     148449      88269       3213
arch/arm/kernel/built-in.a           101833 |      89556      11685        592
arch/arm/mm/built-in.a                70931 |      60196      10543        192
arch/arm/vfp/built-in.a               23752 |      22743        997         12
arch/arm/probes/built-in.a             5201 |       5135         61          5
arch/arm/vdso/built-in.a               4096 |          0       4096          0
arch/arm/common/built-in.a               84 |         80          4          0
--------------------------------------------------------------------------------
sum                                  445828 |     326159     115655       4014
delta                               -239931 |    -148449     -88269      -3213


crypto                                total |       text       data        bss
--------------------------------------------------------------------------------
crypto/built-in.a                     84200 |      77036       7133         31
--------------------------------------------------------------------------------
crypto/*.o                           274427 |     225071      39464       9892
crypto/asymmetric_keys/built-in.a      23280 |      22958        305         17
--------------------------------------------------------------------------------
sum                                  297707 |     248029      39769       9909
delta                               -213507 |    -170993     -32636      -9878


security                              total |       text       data        bss
--------------------------------------------------------------------------------
security/built-in.a                   83476 |      80195       3209         72
--------------------------------------------------------------------------------
security/keys/built-in.a              42652 |      41547       1069         36
security/*.o                          39144 |      37028       2096         20
security/integrity/built-in.a          1680 |       1620         44         16
--------------------------------------------------------------------------------
sum                                   83476 |      80195       3209         72
delta                                     0 |          0          0          0


